scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/drjohnson,20views_quality_diverse,20,quality_diverse,3000,4,success,76.13995169999998,35.436788940429686,0.009425057284533979,19788,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_diverse\run_report.json
db/drjohnson,20views_quality_image_diverse,20,quality_image_diverse,3000,4,success,130.29674420000083,35.788308715820314,0.009042074531316757,17840,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_image_diverse,results\method_outputs\db\drjohnson\3dgs_sparse\20views_quality_image_diverse\run_report.json
db/drjohnson,20views_random,20,random,3000,4,success,67.7839382000002,35.72319450378418,0.00934220189228654,19665,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random\run_report.json
db/drjohnson,20views_random_seed0,20,random_seed0,3000,4,success,95.12079369999992,35.18400115966797,0.008487262949347497,23404,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed0,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed0\run_report.json
db/drjohnson,20views_random_seed1,20,random_seed1,3000,4,success,107.5089386000036,38.4537094116211,0.0074300113134086136,27418,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed1,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed1\run_report.json
db/drjohnson,20views_random_seed2,20,random_seed2,3000,4,success,84.31816479999543,36.45921249389649,0.009547158423811198,26986,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed2\run_report.json
db/drjohnson,20views_random_seed3,20,random_seed3,3000,4,success,78.76434330000484,37.25084533691406,0.008126642927527428,22603,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed3\run_report.json
db/drjohnson,20views_random_seed4,20,random_seed4,3000,4,success,87.7019253000035,39.705186462402345,0.0058473265729844575,22196,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4,results\method_outputs\db\drjohnson\3dgs_sparse\20views_random_seed4\run_report.json
db/drjohnson,20views_uniform,20,uniform,3000,4,success,87.86099689999992,38.09007797241211,0.007926362939178944,23656,results\method_outputs\db\drjohnson\3dgs_sparse\20views_uniform,results\method_outputs\db\drjohnson\3dgs_sparse\20views_uniform\run_report.json
db/playroom,2views_quality,2,quality,3000,4,success,36.86160800000016,48.86379776000977,0.002148993778973818,3775,results\method_outputs\db\playroom\3dgs_sparse\2views_quality,results\method_outputs\db\playroom\3dgs_sparse\2views_quality\run_report.json
